         101   2.500000118743628E-004
        4.946753457573037   1.936963080459685E-001   9.891360072142353E-001
        3.050713176988975   1.658537729368382E-001   9.828346901270135E-001
        1.709698765457524   1.347633423611989E-001   9.693740454989157E-001
        1.176429445413998   1.151986778324387E-001   9.560775384957179E-001
   7.012383584286809E-001   8.908026333642405E-002   9.304786120168378E-001
   3.416482522025919E-001   5.691240878212327E-002   8.836068991316136E-001
   8.973610545589304E-002   1.919743681873134E-002   8.072912149530557E-001
   2.553557240814601E-002   5.874086661934560E-003   7.767389490339041E-001
  -6.041434063947058E-002  -1.537353990333692E-002   7.272601245508967E-001
  -1.181862355641792E-001  -3.221155848178722E-002   6.893354088506068E-001
  -1.411706909052142E-001  -3.953258697906867E-002   6.735803021545707E-001
  -1.516081548270002E-001  -4.297725505923918E-002   6.663559724640097E-001
  -1.516081548270002E-001  -4.297725505923918E-002   6.663559724640097E-001
  -1.565990595287534E-001  -4.465108310866125E-002   6.628918459156515E-001
  -1.661671932275228E-001  -4.790839271478547E-002   6.562402157910199E-001
  -1.838448654169808E-001  -5.409395711042830E-002   6.439459590524287E-001
  -2.145604083621393E-001  -6.535683509325312E-002   6.227407856062407E-001
  -2.634021045793491E-001  -8.458663553412479E-002   5.901237097712175E-001
  -3.017069160661561E-001  -1.007526137860510E-001   5.660666099117503E-001
  -3.333658168883288E-001  -1.147884401187367E-001   5.474429511294178E-001
  -3.841654428149800E-001  -1.384855439546810E-001   5.201231330193393E-001
  -4.053191386184251E-001  -1.487481798172663E-001   5.096730889431446E-001
  -4.419121704567564E-001  -1.670037546897859E-001   4.928148916337997E-001
  -4.729648917794668E-001  -1.829603622129151E-001   4.796393355337838E-001
  -5.000349744414977E-001  -1.971931023879130E-001   4.689278636711029E-001
  -5.457961502663227E-001  -2.218829168609633E-001   4.522909669471509E-001
  -5.655941517492792E-001  -2.327930791798876E-001   4.456100093831224E-001
  -6.007348367105668E-001  -2.524734888500796E-001   4.344376416335468E-001
  -6.313437810471390E-001  -2.699252030843495E-001   4.253560423803914E-001
  -6.585489394859123E-001  -2.856629760137772E-001   4.177426683216418E-001
  -6.830980601273323E-001  -3.000376814071046E-001   4.112112894691450E-001
  -7.261751196519054E-001  -3.256357322596744E-001   4.004539257812724E-001
  -7.453682834195091E-001  -3.371866264258062E-001   3.959251053360869E-001
  -7.801823589917060E-001  -3.583547196067933E-001   3.880879859466908E-001
  -7.961156154783275E-001  -3.681319568693139E-001   3.846530843345862E-001
  -8.256073095025215E-001  -3.863706123288119E-001   3.785287890846574E-001
  -8.524834171819127E-001  -4.031455225277817E-001   3.731950923914952E-001
  -8.772385751832508E-001  -4.187209513435729E-001   3.684766612110962E-001
  -9.002376372042471E-001  -4.332942854732653E-001   3.642495955129000E-001
  -9.420143791888805E-001  -4.600083197128192E-001   3.569296519498906E-001
  -9.611787756409019E-001  -4.723633058742604E-001   3.537162110912621E-001
  -9.967585579704423E-001  -4.954609399717724E-001   3.479735413379978E-001
       -1.013381178343089  -5.063209246960334E-001   3.453847685223403E-001
       -1.044689454210753  -5.268902414530718E-001   3.406618305600648E-001
       -1.073814443638355  -5.461553542773229E-001   3.364378375644090E-001
       -1.101127269583923  -5.643316007860810E-001   3.326161499036885E-001
       -1.126910908640935  -5.815844245883809E-001   3.291254007501122E-001
       -1.151386166986387  -5.980437776333192E-001   3.259114666508776E-001
       -1.174728714259812  -6.138136505224678E-001   3.229323752072067E-001
       -1.197080640058297  -6.289785902605359E-001   3.201549529317674E-001
       -1.239259211663087  -6.577608631957275E-001   3.151034400913129E-001
       -1.259264041315351  -6.714853304194847E-001   3.127897054445520E-001
       -1.297452070131223  -6.978107995653352E-001   3.085108798934526E-001
       -1.315745148098843  -7.104785098637166E-001   3.065224653205890E-001
       -1.350951400493254  -7.349591570649873E-001   3.028014174757525E-001
       -1.367937089947385  -7.468164395538848E-001   3.010539545755167E-001
       -1.400824057942606  -7.698572033328512E-001   2.977548560595507E-001
       -1.416775700381160  -7.810716548025702E-001   2.961932260743443E-001
       -1.447802001191274  -8.029544554837889E-001   2.932248991486034E-001
       -1.462913065216233  -8.136452866942445E-001   2.918111538176883E-001
       -1.492409448090840  -8.345743262298262E-001   2.891094750667963E-001
       -1.506821945216284  -8.448293730794544E-001   2.878163865857069E-001
       -1.535034911141129  -8.649573466537988E-001   2.853345519237283E-001
       -1.562499923549244  -8.846181215049939E-001   2.829791627790261E-001
       -1.589287846575292  -9.038557695329479E-001   2.807371376634276E-001
       -1.615459326407110  -9.227080504082656E-001   2.785973836916452E-001
       -1.641066687999313  -9.412075734954409E-001   2.765504098864838E-001
       -1.666155411375166  -9.593827045907853E-001   2.745880300689720E-001
       -1.690765294351190  -9.772582817253511E-001   2.727031316028916E-001
       -1.714931378171147  -9.948561861916829E-001   2.708894932655216E-001
       -1.738684691655616       -1.012195802460186   2.691416402582635E-001
       -1.762052854860336       -1.029294391877820   2.674547276398955E-001
       -1.785060572850154       -1.046167398786270   2.658244457560497E-001
       -1.807730042708130       -1.062828703173727   2.642469428678985E-001
       -1.830081291431588       -1.079290830661960   2.627187613579806E-001
       -1.852132458325981       -1.095565128175881   2.612367847490810E-001
       -1.873900032488006       -1.111661911804206   2.597981934059447E-001
       -1.895399053690248       -1.127590591968686   2.584004272630195E-001
       -1.916643283242661       -1.143359779956989   2.570411542785445E-001
       -1.937645350071102       -1.158977379055944   2.557182435872710E-001
       -1.958416876218005       -1.174450662886233   2.544297425330241E-001
       -1.999310395717257       -1.204990627749794   2.519489339812436E-001
       -2.019451503769055       -1.220069272940166   2.507534475458202E-001
       -2.059165201049104       -1.249870669427860   2.484452369888936E-001
       -2.078753167647629       -1.264603046347395   2.473299855608809E-001
       -2.117426064152814       -1.293752895986485   2.451715153223826E-001
       -2.136523580625300       -1.308178247701833   2.441262513020326E-001
       -2.174269391944823       -1.336747734540748   2.420990369867212E-001
       -2.192928142605313       -1.350898414974480   2.411154063361862E-001
       -2.229841283844906       -1.378946642542022   2.392042696211206E-001
       -2.248104471955746       -1.392849696963814   2.382753647666724E-001
       -2.284264350157396       -1.420426374339495   2.364676764241399E-001
       -2.302168525491350       -1.434104683108885   2.355877151500090E-001
       -2.337642679245400       -1.461252089919266   2.338728453123537E-001
       -2.355219089110744       -1.474725214101772   2.330369350256581E-001
       -2.390065531839390       -1.501479667256304   2.314058456623111E-001
       -2.407341138908398       -1.514764485735155   2.306098069738962E-001
       -2.441610139251095       -1.541157453887378   2.290547442831438E-001
       -2.458608401318406       -1.554268651474898   2.282949767211609E-001
       -2.492343857402328       -1.580327615296329   2.268092351956285E-001
       -2.509085333731231       -1.593278062302074   2.260826134378591E-001
