8.100000e-007
181
2.645200e-010 1.090000e-004
8.000000 0.652125 0.752294
7.950000 0.655149 0.761468
7.900000 0.657795 0.770642
7.850000 0.660064 0.770642
7.800000 0.661954 0.788991
7.750000 0.663088 0.788991
7.700000 0.664600 0.788991
7.650000 0.664978 0.798165
7.600000 0.665734 0.798165
7.550000 0.666112 0.798165
7.500000 0.666112 0.807339
7.450000 0.666112 0.816514
7.400000 0.666490 0.816514
7.350000 0.666490 0.816514
7.300000 0.666490 0.825688
7.250000 0.666490 0.825688
7.200000 0.666490 0.825688
7.150000 0.666490 0.825688
7.100000 0.666490 0.825688
7.050000 0.666490 0.834862
7.000000 0.666490 0.834862
6.950000 0.666490 0.834862
6.900000 0.666490 0.834862
6.850000 0.666490 0.834862
6.800000 0.666490 0.834862
6.750000 0.666868 0.834862
6.700000 0.666490 0.834862
6.650000 0.666490 0.834862
6.600000 0.666490 0.834862
6.550000 0.666868 0.834862
6.500000 0.666490 0.834862
6.450000 0.666868 0.834862
6.400000 0.666868 0.844037
6.350000 0.666868 0.834862
6.300000 0.666868 0.834862
6.250000 0.666868 0.834862
6.200000 0.666868 0.834862
6.150000 0.666868 0.834862
6.100000 0.666868 0.834862
6.050000 0.666868 0.834862
6.000000 0.666868 0.834862
5.950000 0.666868 0.834862
5.900000 0.666868 0.834862
5.850000 0.666868 0.834862
5.800000 0.667246 0.834862
5.750000 0.667246 0.834862
5.700000 0.666868 0.834862
5.650000 0.666868 0.844037
5.600000 0.667246 0.834862
5.550000 0.667246 0.834862
5.500000 0.667624 0.834862
5.450000 0.667246 0.834862
5.400000 0.667246 0.834862
5.350000 0.667246 0.844037
5.300000 0.667246 0.834862
5.250000 0.667246 0.844037
5.200000 0.667246 0.844037
5.150000 0.667246 0.844037
5.100000 0.667246 0.844037
5.050000 0.667246 0.844037
5.000000 0.667246 0.844037
4.950000 0.667246 0.844037
4.900000 0.667246 0.844037
4.850000 0.667246 0.844037
4.800000 0.667246 0.844037
4.750000 0.667246 0.853211
4.700000 0.667246 0.853211
4.650000 0.667624 0.853211
4.600000 0.667624 0.844037
4.550000 0.668002 0.834862
4.500000 0.667624 0.834862
4.450000 0.668002 0.834862
4.400000 0.668002 0.825688
4.350000 0.668002 0.825688
4.300000 0.668380 0.825688
4.250000 0.668380 0.816514
4.200000 0.668380 0.816514
4.150000 0.668759 0.807339
4.100000 0.668759 0.807339
4.050000 0.669137 0.807339
4.000000 0.669137 0.807339
3.950000 0.669515 0.788991
3.900000 0.669893 0.770642
3.850000 0.670271 0.761468
3.800000 0.670271 0.761468
3.750000 0.670649 0.752294
3.700000 0.671027 0.752294
3.650000 0.671027 0.743119
3.600000 0.671027 0.733945
3.550000 0.671405 0.724771
3.500000 0.671783 0.724771
3.450000 0.672161 0.715596
3.400000 0.672161 0.715596
3.350000 0.672917 0.706422
3.300000 0.672539 0.706422
3.250000 0.673295 0.706422
3.200000 0.673673 0.706422
3.150000 0.673673 0.697248
3.100000 0.674051 0.697248
3.050000 0.674807 0.697248
3.000000 0.675185 0.697248
2.950000 0.675563 0.688074
2.900000 0.675941 0.688074
2.850000 0.676697 0.688074
2.800000 0.677454 0.688074
2.750000 0.678210 0.697248
2.700000 0.679344 0.697248
2.650000 0.680478 0.697248
2.600000 0.681990 0.697248
2.550000 0.683502 0.697248
2.500000 0.685771 0.706422
2.450000 0.688039 0.715596
2.400000 0.691063 0.706422
2.350000 0.694087 0.715596
2.300000 0.697112 0.733945
2.250000 0.700514 0.733945
2.200000 0.703917 0.752294
2.150000 0.707319 0.752294
2.100000 0.710343 0.761468
2.050000 0.714124 0.770642
2.000000 0.717526 0.770642
1.950000 0.722063 0.733945
1.900000 0.722063 0.733945
1.850000 0.725843 0.733945
1.800000 0.729623 0.733945
1.750000 0.733404 0.733945
1.700000 0.737184 0.733945
1.650000 0.740965 0.825688
1.600000 0.748526 0.825688
1.550000 0.748526 0.733945
1.500000 0.752306 0.825688
1.450000 0.756087 0.825688
1.400000 0.759867 0.825688
1.350000 0.763647 0.825688
1.300000 0.767428 0.825688
1.250000 0.774989 0.917431
1.200000 0.778769 0.917431
1.150000 0.782550 0.917431
1.100000 0.786330 0.917431
1.050000 0.790110 0.917431
1.000000 0.797671 1.009174
0.950000 0.801452 1.009174
0.900000 0.805232 1.009174
0.850000 0.805232 1.009174
0.800000 0.812793 1.009174
0.750000 0.816573 1.100918
0.700000 0.824134 1.100918
0.650000 0.827915 1.100918
0.600000 0.831695 1.100918
0.550000 0.835476 1.192661
0.500000 0.843036 1.192661
0.450000 0.846817 1.192661
0.400000 0.850597 1.192661
0.350000 0.858158 1.192661
0.300000 0.858158 1.284404
0.250000 0.865719 1.284404
0.200000 0.869500 1.284404
0.150000 0.873280 1.284404
0.100000 0.880841 1.284404
0.050000 0.884621 1.284404
0.000000 0.888402 1.284404
-0.050000 0.895963 1.376147
-0.100000 0.899743 1.376147
-0.150001 0.903523 1.376147
-0.200000 0.907304 1.376147
-0.250000 0.911084 1.376147
-0.300000 0.914865 1.467890
-0.350000 0.918645 1.467890
-0.400001 0.922426 1.467890
-0.450000 0.926206 1.467890
-0.500000 0.929986 1.467890
-0.550000 0.933767 1.559633
-0.600000 0.933767 1.559633
-0.650001 0.937547 1.467890
-0.700000 0.941328 1.559633
-0.750000 0.941328 1.559633
-0.800000 0.945108 1.559633
-0.850000 0.948889 1.559633
-0.900001 0.952669 1.559633
-0.950000 0.952669 1.559633
-1.000000 0.956450 1.559633
