         202   2.500000118743628E-004
   7.811533160170099E-001   1.195357115972723E-001   9.662731174356221E-001
       -1.029732868920138   1.683029698200402E-002   9.115048608570229E-001
       -2.268975309680513  -1.228083100231002E-001   8.657131298879145E-001
       -2.268975309680513  -1.228083100231002E-001   8.657131298879145E-001
       -2.268985372401396  -1.228096613406510E-001   8.657128223121474E-001
       -2.269005497518060  -1.228123639413799E-001   8.657122071732990E-001
       -2.269045746403089  -1.228177689989142E-001   8.657109769478074E-001
       -2.269126238806084  -1.228285785417708E-001   8.657085167048392E-001
       -2.269287202145149  -1.228501953386146E-001   8.657035970508540E-001
       -2.269609042995932  -1.228934197806325E-001   8.656937610689217E-001
       -2.270252381683862  -1.229798320848462E-001   8.656741023958990E-001
       -2.271537689374805  -1.231525105895886E-001   8.656348381067260E-001
       -2.274102844988258  -1.234972849154641E-001   8.655565209049997E-001
       -2.279211467318283  -1.241845165372549E-001   8.654007252738339E-001
       -2.289343138247743  -1.255498197565879E-001   8.650924362020445E-001
       -2.309273328543002  -1.282446256755630E-001   8.644886589311214E-001
       -2.347869629404836  -1.334973763289409E-001   8.633292709262469E-001
       -2.420489820769327  -1.435008559041445E-001   8.611819852523654E-001
       -2.550516967274572  -1.617958915272289E-001   8.574418856085938E-001
       -2.664560965509269  -1.782362462583328E-001   8.542631502876421E-001
       -2.766228143436960  -1.931941207358337E-001   8.515023184641654E-001
       -2.941712510392008  -2.196616451222279E-001   8.468824367750639E-001
       -3.018671772175497  -2.315218548747670E-001   8.449091580654464E-001
       -3.156263746713877  -2.531003733094641E-001   8.414533656224794E-001
       -3.218349599740108  -2.629917293215710E-001   8.399221109139384E-001
       -3.331751969600970  -2.813021028175862E-001   8.371666542303291E-001
       -3.433332039174440  -2.979666643368210E-001   8.347406367633528E-001
       -3.525358601006165  -3.132751808386684E-001   8.325744133334133E-001
       -3.687013228337443  -3.406442767355943E-001   8.288351753147868E-001
       -3.758881607843817  -3.530048543880055E-001   8.271973952843821E-001
       -3.888628126841811  -3.756159791864029E-001   8.242751383484711E-001
       -3.947641128844177  -3.860251421369169E-001   8.229595705155253E-001
       -4.056080687563218  -4.053540058940304E-001   8.205622944173534E-001
       -4.153840178849575  -4.230009582105136E-001   8.184216293879210E-001
       -4.242842198120065  -4.392483436142117E-001   8.164879943349500E-001
       -4.324529990407865  -4.543114813406093E-001   8.147248635259734E-001
       -4.470172602272779  -4.815235852609961E-001   8.116056249439381E-001
       -4.535703200425215  -4.939151947615359E-001   8.102110735436916E-001
       -4.655066299895062  -5.167205473963071E-001   8.076829978708362E-001
       -4.709762401961018  -5.272713510180149E-001   8.065291032913851E-001
       -4.810853151105897  -5.469374618570417E-001   8.044027425423381E-001
       -4.902564196030982  -5.649645271886466E-001   8.024795122490533E-001
       -4.986473933675591  -5.816124823245598E-001   8.007235996418752E-001
       -5.063792263653353  -5.970830162669869E-001   7.991078842202282E-001
       -5.202255900380715  -6.251000203610868E-001   7.962173307445553E-001
       -5.264772110976590  -6.378807989172275E-001   7.949124827690491E-001
       -5.378922690393187  -6.614281932505723E-001   7.925284676230883E-001
       -5.431331183556044  -6.723303973087646E-001   7.914327157451166E-001
       -5.528327103387062  -6.926594529501784E-001   7.894015902673019E-001
       -5.616441083235047  -7.112979482315974E-001   7.875517360163032E-001
       -5.697130237718634  -7.285090654910170E-001   7.858526838175848E-001
       -5.771520608213081  -7.444982923550704E-001   7.842810601479729E-001
       -5.840500482899611  -7.594292491854022E-001   7.828185426248159E-001
       -5.964949237814775  -7.866226047974395E-001   7.801650732607170E-001
       -6.021479182204263  -7.990843333609879E-001   7.789524980047066E-001
       -6.125170959054810  -8.221214025904614E-001   7.767147149398556E-001
       -6.172959138958168  -8.328167627675246E-001   7.756768752848238E-001
       -6.261664054775242  -8.528015184528395E-001   7.737383081465118E-001
       -6.342499444618070  -8.711636749543371E-001   7.719566898289822E-001
       -6.416699576583854  -8.881458892879471E-001   7.703073898687093E-001
       -6.485230868939160  -9.039398290662335E-001   7.687711769050862E-001
       -6.548864094939335  -9.186995888984434E-001   7.673327462774391E-001
       -6.663823006613515  -9.455979566646208E-001   7.647019340552613E-001
       -6.716088290007337  -9.579276532831528E-001   7.634909578675299E-001
       -6.811996424890746  -9.807186583877794E-001   7.612421630508412E-001
       -6.856203454749783  -9.912967288877071E-001   7.601931965739531E-001
       -6.938250944013930       -1.011053113472007   7.582238471195861E-001
       -7.012988247923003       -1.029190923358509   7.564026453304846E-001
       -7.081546505887126       -1.045949712021020   7.547072141376849E-001
       -7.144815639804496       -1.061519449733132   7.531199258633056E-001
       -7.203508196671219       -1.076053357643626   7.516266437020706E-001
       -7.309378350592025       -1.102493816140410   7.488780562666296E-001
       -7.357430596251679       -1.114591428082571   7.476053128718834E-001
       -7.445455402867275       -1.136912785053296   7.452291985248077E-001
       -7.485955911584421       -1.147253744068001   7.441152263964712E-001
       -7.560990044505411       -1.166532530190781   7.420141488704486E-001
       -7.629174787207388       -1.184189759774686   7.400598216891046E-001
       -7.691573193423833       -1.200466610845560   7.382306178547854E-001
       -7.749022335124116       -1.215554425260142   7.365094136231053E-001
       -7.851629800374853       -1.242752314559218   7.333383422254236E-001
       -7.897782497804226       -1.255093382562247   7.318678536992752E-001
       -7.981672518872461       -1.277701788866568   7.291175222034374E-001
       -8.019992293775303       -1.288106695709824   7.278253977211699E-001
       -8.090533573502071       -1.307392013013061   7.253827396382793E-001
       -8.154135238343738       -1.324930315092972   7.231033064085615E-001
       -8.211929826334359       -1.340995065415059   7.209625774209170E-001
       -8.264799330774949       -1.355800872228352   7.189412578473523E-001
       -8.358426202699908       -1.382289178188775   7.151978713318590E-001
       -8.400208502578890       -1.394225207836139   7.134528296642312E-001
       -8.475634527077087       -1.415961033644828   7.101723188478144E-001
       -8.509866252987727       -1.425908776120303   7.086232931559189E-001
       -8.572520510018101       -1.444256266011122   7.056807574547004E-001
       -8.628611193433098       -1.460841786773619   7.029175454964079E-001
       -8.679253109571457       -1.475952278732506   7.003068405430481E-001
       -8.767451564981167       -1.502595495942905   6.954629755199210E-001
       -8.806228767972913       -1.514448226681641   6.931993039212352E-001
       -8.875366647141838       -1.535805558686335   6.889315859919338E-001
       -8.906391286980444       -1.545487540286783   6.869102111678972E-001
       -8.962627589500956       -1.563201706449693   6.830584708608853E-001
       -9.012392903901757       -1.579063875311393   6.794265693328415E-001
       -9.056872238138718       -1.593398669595591   6.759815511304454E-001
       -9.133362778824310       -1.618424506002050   6.695551507712174E-001
       -9.166618155328420       -1.629463360831483   6.665371457340682E-001
       -9.225374218904300       -1.649221674442194   6.608238887677884E-001
       -9.275869647389758       -1.666481732547199   6.554754181185656E-001
       -9.319920709222439       -1.681768112578461   6.504324426789936E-001
       -9.393543007599666       -1.707840274258637   6.410968070642102E-001
       -9.424795473561060       -1.719124251185124   6.367437449985440E-001
       -9.479024169898153       -1.739041280491101   6.285590814612122E-001
       -9.524730157869001       -1.756189270158004   6.209674677313886E-001
       -9.564013893157663       -1.771216539803739   6.138775233089031E-001
       -9.628651100833650       -1.796583417772573   6.009471603591228E-001
       -9.655776884807617       -1.807487807592898   5.950129919847280E-001
       -9.702518881809908       -1.826670477628127   5.840352572037057E-001
       -9.741694633012079       -1.843158973637803   5.740772375527706E-001
       -9.775288914872052       -1.857618856009174   5.649835118904906E-001
       -9.830608760424825       -1.882121864965451   5.489333459271375E-001
       -9.853910146178416       -1.892715014033385   5.418029247545245E-001
       -9.894290051432611       -1.911473648332761   5.290027129660728E-001
       -9.928447479985198       -1.927751875577754   5.178221543673581E-001
       -9.958038996672302       -1.942165888567112   5.079573261391498E-001
      -10.007530339844700       -1.966929623406183   4.913021370992773E-001
      -10.028711362603690       -1.977779741286966   4.841906009406528E-001
      -10.065957629168120       -1.997222703127489   4.718255590498231E-001
      -10.098052022728590       -2.014342064628262   4.614045465868096E-001
      -10.126327955111320       -2.029698313331361   4.524662390598095E-001
      -10.174663396566190       -2.056520848488559   4.378279098760633E-001
      -10.195766389719360       -2.068449142251295   4.317180466165963E-001
      -10.233500399228770       -2.090092155306360   4.212435011827229E-001
      -10.250572078432010       -2.100011481344322   4.166966777642417E-001
      -10.281902715753270       -2.118413659871453   4.086612960979767E-001
      -10.310203762392300       -2.135247850587253   4.017395780739510E-001
