   1.000000000000000E+020   2.500000118743628E-004
   1.000000000000000E+020   0.000000000000000E+000
   1.000000000000000E+020   1.166666666666667E-009
   1.000000000000000E+020   2.333333333333333E-009
   1.000000000000000E+020   3.500000000000000E-009
   1.000000000000000E+020   4.666666666666666E-009
   1.000000000000000E+020   5.833333333333333E-009
   1.000000000000000E+020   7.000000000000000E-009
   1.000000000000000E+020   8.166666666666665E-009
   1.000000000000001E+020   9.333333333333333E-009
   1.000000000000004E+020   1.050000000000000E-008
   1.000000000000011E+020   1.166666666666667E-008
   1.000000000000032E+020   1.283333333333333E-008
   1.000000000000087E+020   1.400000000000000E-008
   1.000000000000236E+020   1.516666666666667E-008
   1.000000000000630E+020   1.633333333333333E-008
   1.000000000001661E+020   1.750000000000000E-008
   1.000000000004320E+020   1.866666666666667E-008
   1.000000000011082E+020   1.983333333333333E-008
   1.000000000028044E+020   2.100000000000000E-008
   1.000000000070010E+020   2.216666666666666E-008
   1.000000000172412E+020   2.333333333333333E-008
   1.000000000418856E+020   2.450000000000000E-008
   1.000000001003806E+020   2.566666666666666E-008
   1.000000002373144E+020   2.683333333333333E-008
   1.000000005534610E+020   2.800000000000000E-008
   1.000000012733236E+020   2.916666666666666E-008
   1.000000028898766E+020   3.033333333333333E-008
   1.000000064700641E+020   3.150000000000000E-008
   1.000000142898163E+020   3.266666666666666E-008
   1.000000311338961E+020   3.383333333333333E-008
   1.000000669158609E+020   3.500000000000000E-008
   1.000001418774704E+020   3.616666666666667E-008
   1.000002967471613E+020   3.733333333333333E-008
   1.000006122777522E+020   3.849999999999999E-008
   1.000012462327347E+020   3.966666666666666E-008
   1.000025022955279E+020   4.083333333333333E-008
   1.000049564053192E+020   4.200000000000000E-008
   1.000096846470676E+020   4.316666666666666E-008
   1.000186676458149E+020   4.433333333333333E-008
   1.000354963808697E+020   4.550000000000000E-008
   1.000665836146986E+020   4.666666666666666E-008
   1.001232081483845E+020   4.783333333333333E-008
   1.002249055967032E+020   4.900000000000000E-008
   1.004049951891511E+020   5.016666666666666E-008
   1.007194294891475E+020   5.133333333333333E-008
   1.012607105177049E+020   5.249999999999999E-008
   1.021793715950203E+020   5.366666666666666E-008
   1.037165156498358E+020   5.483333333333333E-008
   1.062521503774820E+020   5.600000000000000E-008
   1.103755620977753E+020   5.716666666666666E-008
   1.169856676561410E+020   5.833333333333333E-008
   1.274310467493401E+020   5.950000000000000E-008
   1.437009529899748E+020   6.066666666666667E-008
   1.686796707982314E+020   6.183333333333332E-008
