          40   3.165432000000000E-004
  -1.382909993974701E-001   8.985283624036219E-002   9.512695696675498E-001
  -4.009050147880724E-001   7.580413574754034E-002   9.414137883426472E-001
  -7.323073373205266E-001   5.374233606440954E-002   9.245030115050429E-001
       -1.094055280017138   2.204040671219676E-002   8.989492453084739E-001
       -1.211089851549785   9.640893948497910E-003   8.890816885398686E-001
       -1.385813796864850  -1.111279369117918E-002   8.732132992086835E-001
       -1.616388492068245  -4.289286790752780E-002   8.510384204239839E-001
       -1.700503757717073  -5.577004309805451E-002   8.428303741272166E-001
       -1.834600664780210  -7.772430604574408E-002   8.297972737450077E-001
       -1.939569268428771  -9.612298667028758E-002   8.197113057596475E-001
       -2.099161135443061  -1.261049276173244E-001   8.046552476105031E-001
       -2.315666757625740  -1.705594936951260E-001   7.848425999319294E-001
       -2.315666757625740  -1.705594936951260E-001   7.848425999319294E-001
       -2.396241951918414  -1.881870633112606E-001   7.776569779152842E-001
       -2.465488752670832  -2.037957857298719E-001   7.715644323688687E-001
       -2.526222256696587  -2.178307343505291E-001   7.662845288029286E-001
       -2.629104977836006  -2.423314521558834E-001   7.574775270789429E-001
       -2.714321192887401  -2.633049564955871E-001   7.503149485262038E-001
       -2.787094068475188  -2.816953175012583E-001   7.442939738724376E-001
       -2.850622028697442  -2.981051405500256E-001   7.391103357033714E-001
       -2.907007055910092  -3.129440262165968E-001   7.345661280628019E-001
       -3.003766894874206  -3.390002714250224E-001   7.268914009577774E-001
       -3.084929673203389  -3.614238970065470E-001   7.205724338175398E-001
       -3.154858003931538  -3.811517543666601E-001   7.152128969191296E-001
       -3.216301878416989  -3.987932224837420E-001   7.105664985206306E-001
       -3.271107870935303  -4.147682336108379E-001   7.064700212858004E-001
       -3.320576652728008  -4.293791424736821E-001   7.028099073402968E-001
       -3.407073042808644  -4.553573524962137E-001   6.964913278435778E-001
       -3.480992627275886  -4.779857440356917E-001   6.911681871542218E-001
       -3.545542533578016  -4.980609800435112E-001   6.865733306260892E-001
       -3.602846033993920  -5.161212968436590E-001   6.825335139967733E-001
       -3.654387989208482  -5.325483741322001E-001   6.789302086193212E-001
       -3.744274285352365  -5.615594525284618E-001   6.727171468726956E-001
       -3.821276540767288  -5.866461388811963E-001   6.674841187686711E-001
       -3.889477896872894  -6.087809404005201E-001   6.629636901200875E-001
       -3.952157043168471  -6.286209402534897E-001   6.589842971357988E-001
       -4.012484363114648  -6.466393437796318E-001   6.554294527971287E-001
       -4.141347802570178  -6.785954530641661E-001   6.492847957950612E-001
       -4.319190548800622  -7.069377415103821E-001   6.440917970977397E-001
       -4.625609124445362  -7.337615456142691E-001   6.395913752338122E-001
